	C1_FDSW202534412	CXD_0204_FDSW210423206	CXD_0209_FDSW210423211	CXD_0210_FDSW210423212	CXD_0213_FDSW210423215	CXD_0214_FDSW210423216	CXD_0215_FDSW210423217	CXD_0801_FDSW210423161	CXD_0802_FDSW210423162	CXD_0803_FDSW210423163	CXD_0804_FDSW210423164	CXD_0805_FDSW210423165	CXD_0807_FDSW210423167	CXD_1001_FDSW210423173	CXD_1003_FDSW210423175	CXD_1004_FDSW210423176	CXD_1007_FDSW210423179	CXD_1009_FDSW210423181	CXD_1015_FDSW210423187	CXD_1201_FDSW210423188	CXD_1202_FDSW210423189	CXD_1203_FDSW210423190	CXD_1213_FDSW210423200	CXD_1214_FDSW210423201	CXD_1215_FDSW210423202	CXD_1401_FDSW210423218	CXD_1402_FDSW210423219	CXD_1408_FDSW210423225	CXD_1412_FDSW210423229	CXD_1414_FDSW210423231	CXD_1415_FDSW210423232	CXD_1604_FDSW210423236	CXD_1609_FDSW210423241	CXD_1610_FDSW210423242	CXD_1611_FDSW210423243	CXD_1612_FDSW210423244	CXD_1613_FDSW210423245	DD1_FDSW220008388	DD11_FDSW220008398	DD13_FDSW220008400	DD15_FDSW220008402	DD3_FDSW220008390	DD5_FDSW220008392	DD7_FDSW220008394	DD9_FDSW220008396	DY10_FDME210438608	DY11_FDME210438609	DY13_FDME210438611	DY15_FDME210438613	DY2_FDME210438600	DY6_FDME210438604	DY7_FDME210438605	E10_FDSW202534389	E100_FDSW202534392	E150_FDSW202534393	E20_FDSW202534390	E5_FDSW202534388	E50_FDSW202534391	LYG1_FDME210455382	LYG11_FDME210455392	LYG13_FDME210455394	LYG3_FDME210455384	LYG5_FDME210455386	LYG6_FDME210455387	LYG7_FDME210455388	N10_FDSW202534407	N100_FDSW202534410	N150_FDSW202534411	N20_FDSW202534408	N5_FDSW202534406	N50_FDSW202534409	NB1_FDME210455352	NB11_FDME210455362	NB12_FDME210455363	NB15_FDME210455366	NB2_FDME210455353	NB4_FDME210455355	NB6_FDME210455357	NB7_FDME210455358	S10_FDSW202534395	S100_FDSW202534398	S150_FDSW202534399	S20_FDSW202534396	S5_FDSW202534394	S50_FDSW202534397	SY11_FDME210455407	SY12_FDME210455408	SY13_FDME210455409	SY15_FDME210455411	SY3_FDME210455399	SY7_FDME210455403	SY9_FDME210455405	W10_FDSW202534401	W100_FDSW202534404	W150_FDSW202534405	W20_FDSW202534402	W5_FDSW202534400	W50_FDSW202534403	WZ1_L1	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471	WZ3_L1	WZ5_L1	WZ7_FDME210455463	YC1_FDME220007405	YC11_FDME220007415	YC13_FDME220007417	YC15_FDME220007419	YC3_FDME220007407	YC5_FDME220007409	YC7_FDME220007411	YC9_FDME220007413	ZH1_FDSW220008784	ZH11_FDSW220008794	ZH13_FDSW220008796	ZH15_FDSW220008798	ZH3_FDSW220008786	ZH5_FDSW220008788	ZH7_FDSW220008790	ZH9_FDSW220008792
JS_YC_2021_05_15_bin_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.26926407	14.33387518	2.223154495	0	16.44630735	4.549496892	2.22829786	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.45898178	45.96026096	13.09685531	34.4269435	145.6216976	123.4918984	7.666325387	33.59761174	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_normal_bin_17	2.122633887	1.029894497	2.28830189	2.124289655	0	0	0	0	5.697218589	3.645513781	3.578671965	0	1.468808965	1.028461245	0	2.434867066	1.495577822	1.635569734	4.477394789	0	2.608163672	5.190411324	5.626756177	3.783692928	1.834263204	3.57329252	1.46417223	6.566939432	2.805232378	5.131836641	2.849567588	2.801485951	3.770185914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.199340524	1.223236119	3.555221358	2.815659611	2.878668737	0	0	0	0	0	0	0	0	3.681705397	0	1.474094154	1.815401608	3.040578928	0	0	0	0	0	0	0	0	0	2.585205484	1.069905595	1.4539349	1.716264194	3.337771633	1.443306116	0	0	0	0	0	0	0	2.760980263	4.109528362	2.479616277	2.359276201	4.207732597	1.393091507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_9	7.661646475	0.955765639	8.647891873	1.09045126	0	0	0	0	5.292985326	1.517330951	1.621049507	1.079626873	2.352399128	1.439910823	1.445441598	0.910699938	3.106970103	3.434430588	2.434451663	1.926771527	1.70080533	4.160119745	5.094242504	2.653367364	0.967410769	2.50673749	1.695399926	3.034002683	3.352204448	2.914229036	9.318241616	0	3.538525759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.877279687	0	0.752303203	9.919016885	5.733218845	0.937378504	0	0	0	0	0	0	0	17.15625786	1.072201727	1.153389735	3.641108646	5.952971268	0	0	0	0	0	0	0	0	0	2.819653501	0.962292286	1.406338518	1.844152731	5.283807825	0	0	0	0	0	0	0	0	3.946739859	5.007102108	2.656292389	2.459709725	6.517892598	0.941447823	0	0	1.214193295	0	0.959128828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.611602732	3.049887687	2.317394061	1.048331754	0.908885025	3.935493937	5.266463756	3.340040299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.86316443	13.55508943	12.62178199	12.33673237	10.17449591	14.28736528	11.20689155	13.14324728
SD_QD_2020_06_15_bin_14	1.782182035	0	1.442295096	1.323041985	0	0	1.225722602	0	2.529655105	0	0	0	0	0	0	0	0	0	0	0	0	1.548545579	3.24255008	1.425988783	1.180230754	1.144526231	0.959633871	3.283881818	0.948091146	0	2.53117913	1.366306367	0.823380871	2.312703438	2.463298086	1.292050754	1.473446934	1.058680267	0	0	0	0	1.597318333	0	0	0	0	0	0	0	0	0	2.377777451	3.654738824	2.796411601	2.033185631	1.789578617	3.303909638	0	0	0	0	0	0	0	2.27121024	4.265372136	2.675750917	1.270556073	1.540849296	3.629936499	0	0	0	0	0	0	0	0	1.381354554	1.022677183	1.77661631	1.49699401	1.907175993	1.012276817	0	0	0	0	0	0	0	1.282536883	1.090402277	0	1.401532112	1.570091536	1.158578264	0	0	0	0	0.835262607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_26	1.871372865	0.974777889	0	0.946226081	0	0	0.869692164	0	3.763409331	0	1.490653039	0	0	0	1.03528554	0	0	0	2.403082158	0	1.038115857	1.233720914	2.953012427	1.661803228	0.920780978	0	0	2.125031139	1.687137227	3.181850755	3.376350791	2.514439945	1.515326812	1.407835167	1.146478768	0.882975025	1.082392378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.069888248	3.30011013	2.297763175	1.938957013	2.633061602	5.432706336	0	0	0	0	0	0	0	1.687947746	5.075039092	4.32263313	1.151527572	1.675544189	3.545985204	0	0	0	0	0	0	0	0	1.498602264	1.292865768	1.58428787	2.133629091	2.280545785	1.286296821	0	0	0	0	0	0	0	1.579333577	1.254395031	1.038597279	1.721373787	1.798692812	1.217693796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_08_15_bin_3	0	2.473080667	0	13.83271515	0	0	0.857640172	20.49438011	4.68766723	27.76421102	35.56853781	32.17380784	1.346966081	5.379977764	7.248687759	20.34115652	0	0	0	2.360634928	7.060798939	0	0	2.615146732	2.439969594	5.422129256	33.40839233	1.282296307	0	0	0	15.80420778	2.659150639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.56841552	21.07850594	18.51256679	17.62145227	10.98333783	29.50186509	30.61087982	27.72059183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.13884319	9.345895655	11.07671508	13.70140063	24.06764135	13.30440166	15.95659825	9.030576456	3.442981776	8.274856214	5.371892325	5.960356676	3.876072871	4.421758282	3.654275879	9.955618128	0	0	0	0	0	0	0	0
JS_LYG_2021_05_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.621280604	0	0	55.03420078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
