,MAT,Salinity,pH,NH4,NO3,NO2,TN,TP,SO4,TOC (g/kg),Moisture (%)
C1_FDSW202534412,12.77,3.8,8.25,0.003418127,0.08124124,0.000622497,1.10118064,0.02279732,1.894474795,20.17,42.6
CXD_0204_FDSW210423206,12.77,5.12,8.56,0.002763174,0.029516347,0.000471291,1.27220985,0.011058611,3.982505338,18.25,Na
CXD_0209_FDSW210423211,12.77,3.07,8.15,0.00338455,0.029516347,0.000393855,2.428802005,0.022099297,2.273370313,17,Na
CXD_0210_FDSW210423212,12.77,5.41,8,0.003850582,0.021135244,0.000402459,1.171636619,0.00676501,5.702959138,17.85,Na
CXD_0213_FDSW210423215,12.77,5.5,8.45,0.001416859,0.155232886,0.000531519,1.515261824,1.79E-05,3.761789225,18.4,Na
CXD_0214_FDSW210423216,12.77,5.94,8.35,0.00302208,0.021135244,0.000514311,1.180017721,0.007991753,4.237177775,18.2,Na
CXD_0215_FDSW210423217,12.77,5.98,8.28,0.003073862,0.029516347,0.000514311,1.498499619,0.017805697,3.948549013,17.6,Na
CXD_0801_FDSW210423161,12.77,1.93,8.14,0.003488113,0.012754142,0.000393855,1.582310645,0.013205411,1.89419135,18,Na
CXD_0802_FDSW210423162,12.77,2.92,8.18,0.001520421,0.021135244,0.000350835,1.724789389,0.017499011,1.430121575,16.8,Na
CXD_0803_FDSW210423163,12.77,2.29,8.39,0.010633939,0.029516347,0.000187359,1.263828747,0.004004839,1.2377024,17.7,Na
CXD_0804_FDSW210423164,12.77,2.33,8.29,0.004109489,0.021135244,0.000419667,1.548786235,0.003698153,1.865894413,17.7,Na
CXD_0805_FDSW210423165,12.77,1.46,8.4,0.004989772,0.012754142,0.000497103,1.490118517,0.007685067,0.915117313,18.8,Na
CXD_0807_FDSW210423167,12.77,1.35,8.31,0.00954653,0.03789745,0.000307815,1.464975209,0.013512096,0.76231385,17.9,Na
CXD_1001_FDSW210423173,12.77,3.67,7.93,0.001261515,0.029516347,0.000574539,1.850505927,0.011058611,4.050417988,17.2,Na
CXD_1003_FDSW210423175,12.77,6.11,8.04,0.000381232,0.021135244,0.000497103,1.615835055,0.010751925,3.790086163,18.3,Na
CXD_1004_FDSW210423176,12.77,3.51,8,0.000950826,0.03789745,0.000488499,2.168987825,0.00247141,3.043047013,18,Na
CXD_1007_FDSW210423179,12.77,2.93,8.2,0.002763174,0.046278552,0.000256191,1.800219312,0.021792611,2.448811325,17.6,Na
CXD_1009_FDSW210423181,12.77,3.03,7.96,0.002141797,0.03789745,0.000350835,1.825362619,0.004924896,2.8223309,17.9,Na
CXD_1015_FDSW210423187,12.77,2.58,7.55,0.002038235,0.021135244,0.000505707,2.269561056,0.011365296,3.167553538,17.5,Na
CXD_1201_FDSW210423188,12.77,2.97,8.49,0.002193579,0.021135244,0.000729411,0.584959439,0.02952485,4.073055538,16.95,Na
CXD_1202_FDSW210423189,12.77,3.87,8.62,0.001520421,0.03789745,0.000548727,1.691264978,0.01409276,4.1353088,17.65,Na
CXD_1203_FDSW210423190,12.77,2.96,8.53,0.001675765,0.03789745,0.000522915,1.56554844,0.023211722,4.3164092,18.1,Na
CXD_1213_FDSW210423200,12.77,4.74,8.23,0.000225888,0.054659655,0.000488499,2.21927444,0.020055158,3.75047045,17.4,Na
CXD_1214_FDSW210423201,12.77,3.08,8.39,0.000381232,0.130089578,0.000514311,1.875649235,0.018652241,3.835361263,17.95,Na
CXD_1215_FDSW210423202,12.77,3.05,8.43,0.000174106,0.046278552,0.000548727,1.934316953,0.025666827,4.095693088,18.4,Na
CXD_1401_FDSW210423218,12.77,4.34,8.2,0.003566159,0.037791736,0.000330745,1.573929542,0.021107346,4.118330638,18.9,Na
CXD_1402_FDSW210423219,12.77,3.47,8.19,0.002974594,0.029431776,0.000268792,1.56554844,0.020756617,3.988164725,18.3,Na
CXD_1408_FDSW210423225,12.77,2.99,8.14,0.005771086,0.021071816,0.000182058,1.89241144,0.008481091,2.737440088,18.7,Na
CXD_1412_FDSW210423229,12.77,2.22,8.34,0.005071963,0.029431776,0.00021923,1.548786235,0.019704429,2.216776438,19.6,Na
CXD_1414_FDSW210423231,12.77,3.14,8.16,0.00560975,0.004351897,0.00044226,1.724789389,0.020405888,2.39221745,17.9,Na
CXD_1415_FDSW210423232,12.77,4.4,8.09,0.006954218,0.004351897,0.000144887,1.900792543,0.013040572,3.971186563,18,Na
CXD_1604_FDSW210423236,12.77,4.52,8.18,0.001054389,0.029516347,0.000608955,1.180017721,0.017499011,3.450522913,18.6,Na
CXD_1609_FDSW210423241,12.77,2.67,7.96,0.003436331,0.063040757,0.000273399,1.30573426,0.014125468,2.827990288,19,Na
CXD_1610_FDSW210423242,12.77,4.69,8.11,0.003643457,0.054659655,0.000514311,1.724789389,0.011058611,3.495798013,19.1,Na
CXD_1611_FDSW210423243,12.77,2.31,8.36,0.00069192,0.029516347,0.000514311,1.607453953,0.021485926,2.307326638,18.2,Na
CXD_1612_FDSW210423244,12.77,4.54,8.1,0.002141797,0.029516347,0.000488499,1.657740568,0.015658897,3.603326375,19.3,Na
CXD_1613_FDSW210423245,12.77,3.11,8.16,0.001572203,0.046278552,0.000471291,1.473356311,0.019952497,3.34299455,18.9,Na
DD1_FDSW220008388,9.53,3.2,8.21,0.003228948,0.0423666,0.000113235,1.3811637,0.013512188,1.91137875,11.89,39.05
DD11_FDSW220008398,9.53,2.5,7.66,0.004216716,0.0459585,0.000051447,2.2527981,0.011058688,2.10947875,Na,33.15
DD13_FDSW220008400,9.53,3.8,7.96,0.00572742,0.0459585,0.000082341,2.1689871,0.011365375,1.79817875,10.14,37.66
DD15_FDSW220008402,9.53,2.8,7.9,0.007935372,0.0746937,0.000066894,2.1857493,0.01443225,1.63969875,8.94,31.89
DD3_FDSW220008390,9.53,2.6,8.46,0.008109684,0.0495504,0.000051447,2.0348895,0.010138625,1.34537875,Na,26.58
DD5_FDSW220008392,9.53,2.8,8.24,0.006134148,0.0351828,9.01E-05,1.7499321,0.046941125,1.23783875,23.7,21.72
DD7_FDSW220008394,9.53,2.7,7.91,0.003461364,0.0890613,0.000105512,1.7080266,0.025473,1.65667875,Na,24.82
DD9_FDSW220008396,9.53,2.5,8.1,0.004623444,0.1285722,0.000066894,1.741551,0.028539875,1.65101875,11.8,18.6
DY10_FDME210438608,12.86,1.1,8.37,0.001195308,0.0854694,7.46E-05,1.1632551,0.007991813,1.52083875,8.07,19.63
DY11_FDME210438609,12.86,1.8,8.35,0.000962892,0.0531423,4.37E-05,1.3141149,0.006458375,1.29443875,Na,21.1
DY13_FDME210438611,12.86,1.9,8.31,0.000672372,0.0531423,0.000051447,1.4230692,0.00216475,1.33405875,10.97,20.03
DY15_FDME210438613,12.86,1.4,8.24,0.000904788,0.0926532,4.37E-05,1.4482125,0.010138625,1.46423875,6.58,21.52
DY2_FDME210438600,12.86,1.3,8.41,0.000962892,0.0351828,0.000036,0.9621087,0.0230195,1.63403875,9.38,20.31
DY6_FDME210438604,12.86,1.9,8.33,0.001195308,0.0603261,5.92E-05,1.1632551,0.007685125,1.24915875,7.8,20.76
DY7_FDME210438605,12.86,1.2,8.41,0.001543932,0.0746937,7.46E-05,1.0794441,0.004924938,1.56045875,Na,19.91
E10_FDSW202534389,12.77,4.8,8.03,0.003609155,0.08822004,9.20E-05,1.16629576,0.01659098,1.899922545,11.34,47.4
E100_FDSW202534392,12.77,9.51,8.03,0.007063578,0.08752216,0.000659946,1.30892888,0.03417561,2.461040795,42.91,62.8
E150_FDSW202534393,12.77,9.12,8.09,0.007811771,0.08054336,0.000541358,1.84845416,0.04215519,2.442518445,12.62,51.7
E20_FDSW202534390,12.77,5.75,8.17,0.004341429,0.07426244,0.000129419,1.3585404,0.01644321,1.951131395,56.74,62.6
E5_FDSW202534388,12.77,4.88,8.14,0.004723485,0.06937728,0.000347871,1.34613752,0.01673875,1.989265645,22.67,49
E50_FDSW202534391,12.77,7.99,8.17,0.006745198,0.12171828,0.000447735,1.46474006,0.01481774,1.879221095,26.51,59.3
LYG1_FDME210455382,13.8,1.9,8.62,0.002357388,0.0315909,7.46E-05,1.490118,0.022712813,1.58309875,10.16,28.99
LYG11_FDME210455392,13.8,3.4,8.77,0.003345156,0.0423666,0.000036,1.7164077,0.013512188,2.16607875,Na,39.97
LYG13_FDME210455394,13.8,2.5,8.7,0.003577572,0.0495504,0.000144129,1.8002187,0.022099438,1.67931875,17.51,29.52
LYG3_FDME210455384,13.8,2,8.77,0.008109684,0.0459585,7.46E-05,1.6158345,0.007685125,1.99061875,Na,34.5
LYG5_FDME210455386,13.8,1.6,8.8,0.003170844,0.0315909,0.000066894,1.7918376,0.011672063,1.75289875,13.19,32.11
LYG6_FDME210455387,13.8,3.4,8.62,0.007644852,0.0387747,0.000066894,1.4230692,0.017499125,2.27927875,Na,29.51
LYG7_FDME210455388,13.8,2.6,8.63,0.005959836,0.0387747,0.000128682,1.9343163,0.015045625,2.06985875,23.97,32.81
N10_FDSW202534407,12.77,3.96,8.2,0.005408002,0.07286668,0.00013566,1.30892888,0.02826481,1.829101795,15.12,43.6
N100_FDSW202534410,12.77,8.51,8.01,0.00671336,0.082637,0.000672429,1.47946848,0.03639216,2.342279845,30.29,60.3
N150_FDSW202534411,12.77,3.27,8.12,0.004229996,0.08124124,0.00075981,1.63140376,0.03521,2.203906995,25.23,35.4
N20_FDSW202534408,12.77,2.79,8.07,0.003704669,0.08333488,0.000154385,1.53528144,0.0233884,1.350789345,32.79,56
N5_FDSW202534406,12.77,3.83,8.27,0.002526663,0.0791476,0.000060762,1.28257276,0.02058077,1.509863645,12.62,42.4
N50_FDSW202534409,12.77,8.08,8.03,0.008735073,0.06937728,0.000248007,1.4205548,0.01393112,2.175578695,23.95,60.1
NB1_FDME210455352,16.74,5,8.02,0.004216716,0.0387747,0.000082341,1.6158345,0.001244688,2.45473875,16.91,44.84
NB11_FDME210455362,16.74,4.2,8.12,0.003170844,0.0459585,0.000066894,1.2470661,0.010445313,2.55661875,Na,42.12
NB12_FDME210455363,16.74,4.1,8.13,0.003228948,0.0675099,0.000097788,1.3644015,0.005845,2.24531875,13,40.94
NB15_FDME210455366,16.74,4.1,8.17,0.00340326,0.0459585,0.000120959,1.2722094,0.001858063,2.36417875,15,39.39
NB2_FDME210455353,16.74,5.6,8,0.004158612,0.0423666,0.000244535,1.3727826,0.001858063,2.59057875,Na,47.97
NB4_FDME210455355,16.74,5.6,7.98,0.002996532,0.0423666,7.46E-05,1.322496,0.002778125,2.72075875,5,49.37
NB6_FDME210455357,16.74,5.4,8.06,0.003228948,0.0495504,0.000082341,1.1045874,0.005231625,2.71509875,Na,47.14
NB7_FDME210455358,16.74,4.9,8.04,0.003461364,0.0603261,7.46E-05,1.2051606,0.004004875,2.50567875,9,43.65
S10_FDSW202534395,12.77,3.92,8.16,0.00591741,0.08752216,0.000035796,1.14459072,0.02161516,1.336625195,37.85,40.8
S100_FDSW202534398,12.77,4.47,8.12,0.003672831,0.07635608,0.000198075,1.31357996,0.01969415,1.789877995,30.29,43.6
S150_FDSW202534399,12.77,3.94,8.07,0.003067909,0.08682428,0.000254249,1.77403688,0.0219107,1.735400495,25.23,42
S20_FDSW202534396,12.77,3.88,8.18,0.005742301,0.07286668,2.96E-05,1.19110152,0.02013746,1.468460745,31.51,45.5
